Type_of_Event,Year_of_Birth,Residence_or_Place_of_Birth,ZIP_Code_of_Residence,Birthweight_Grams,Total_Births,Last_Data_Refresh
Birth,2022,Place of Residence,90023,1500 - 1999 grams,<11,11/10/2023
Birth,2022,Place of Residence,90023,2000 - 2499 grams,19,11/10/2023
Birth,2022,Place of Residence,90023,2500 - 2999 grams,92,11/10/2023
Birth,2022,Place of Residence,90023,3000 - 3499 grams,177,11/10/2023
Birth,2022,Place of Residence,90023,3500 - 3999 grams,146,11/10/2023
Birth,2022,Place of Residence,90023,4000 - 5999 grams,38,11/10/2023
Birth,2022,Place of Residence,90023,Unreliable/Unknown,<11,11/10/2023
Birth,2022,Place of Residence,90024,500 - 999 grams,0,11/10/2023
Birth,2022,Place of Residence,90024,1000 - 1499 grams,<11,11/10/2023
Birth,2022,Place of Residence,90024,1500 - 1999 grams,<11,11/10/2023
Birth,2022,Place of Residence,90024,2000 - 2499 grams,<11,11/10/2023
Birth,2022,Place of Residence,90024,2500 - 2999 grams,51,11/10/2023
Birth,2022,Place of Residence,90024,3000 - 3499 grams,91,11/10/2023
Birth,2022,Place of Residence,90024,3500 - 3999 grams,53,11/10/2023
Birth,2022,Place of Residence,90024,4000 - 5999 grams,<11,11/10/2023
Birth,2022,Place of Residence,90024,Unreliable/Unknown,0,11/10/2023
Birth,2022,Place of Residence,90025,500 - 999 grams,<11,11/10/2023
Birth,2022,Place of Residence,90025,1000 - 1499 grams,<11,11/10/2023
Birth,2022,Place of Residence,90025,1500 - 1999 grams,<11,11/10/2023
Birth,2022,Place of Residence,90025,2000 - 2499 grams,17,11/10/2023
Birth,2022,Place of Residence,90025,2500 - 2999 grams,67,11/10/2023
Birth,2022,Place of Residence,90025,3000 - 3499 grams,159,11/10/2023
Birth,2022,Place of Residence,90025,3500 - 3999 grams,100,11/10/2023
Birth,2022,Place of Residence,90025,4000 - 5999 grams,20,11/10/2023
Birth,2022,Place of Residence,90025,Unreliable/Unknown,0,11/10/2023
Birth,2022,Place of Residence,90026,500 - 999 grams,<11,11/10/2023
Birth,2022,Place of Residence,90026,1000 - 1499 grams,<11,11/10/2023
Birth,2022,Place of Residence,90026,1500 - 1999 grams,11,11/10/2023
Birth,2022,Place of Residence,90026,2000 - 2499 grams,21,11/10/2023
Birth,2022,Place of Residence,90026,2500 - 2999 grams,116,11/10/2023
Birth,2022,Place of Residence,90026,3000 - 3499 grams,197,11/10/2023
Birth,2022,Place of Residence,90026,3500 - 3999 grams,131,11/10/2023
Birth,2022,Place of Residence,90026,4000 - 5999 grams,27,11/10/2023
Birth,2022,Place of Residence,90026,Unreliable/Unknown,<11,11/10/2023
Birth,2022,Place of Residence,90027,500 - 999 grams,0,11/10/2023
Birth,2022,Place of Residence,90027,1000 - 1499 grams,<11,11/10/2023
Birth,2022,Place of Residence,90027,1500 - 1999 grams,<11,11/10/2023
Birth,2022,Place of Residence,90027,2000 - 2499 grams,15,11/10/2023
Birth,2022,Place of Residence,90027,2500 - 2999 grams,55,11/10/2023
Birth,2022,Place of Residence,90027,3000 - 3499 grams,138,11/10/2023
Birth,2022,Place of Residence,90027,3500 - 3999 grams,76,11/10/2023
Birth,2022,Place of Residence,90027,4000 - 5999 grams,26,11/10/2023
Birth,2022,Place of Residence,90027,Unreliable/Unknown,<11,11/10/2023
Birth,2022,Place of Residence,90028,500 - 999 grams,0,11/10/2023
Birth,2022,Place of Residence,90028,1000 - 1499 grams,<11,11/10/2023
Birth,2022,Place of Residence,90028,1500 - 1999 grams,<11,11/10/2023
Birth,2022,Place of Residence,90028,2000 - 2499 grams,<11,11/10/2023
Birth,2022,Place of Residence,90028,2500 - 2999 grams,41,11/10/2023
Birth,2022,Place of Residence,90028,3000 - 3499 grams,66,11/10/2023
Birth,2022,Place of Residence,90028,3500 - 3999 grams,44,11/10/2023
Birth,2022,Place of Residence,90028,4000 - 5999 grams,<11,11/10/2023
Birth,2022,Place of Residence,90028,Unreliable/Unknown,0,11/10/2023
Birth,2022,Place of Residence,90029,500 - 999 grams,<11,11/10/2023
Birth,2022,Place of Residence,90029,1000 - 1499 grams,<11,11/10/2023
Birth,2022,Place of Residence,90029,1500 - 1999 grams,<11,11/10/2023
Birth,2022,Place of Residence,90029,2000 - 2499 grams,14,11/10/2023
Birth,2022,Place of Residence,90029,2500 - 2999 grams,54,11/10/2023
Birth,2022,Place of Residence,90029,3000 - 3499 grams,107,11/10/2023
Birth,2022,Place of Residence,90029,3500 - 3999 grams,62,11/10/2023
Birth,2022,Place of Residence,90029,4000 - 5999 grams,<11,11/10/2023
Birth,2022,Place of Residence,90029,Unreliable/Unknown,0,11/10/2023
Birth,2022,Place of Residence,90030,500 - 999 grams,0,11/10/2023
Birth,2022,Place of Residence,90030,1000 - 1499 grams,0,11/10/2023
Birth,2022,Place of Residence,90030,1500 - 1999 grams,0,11/10/2023
Birth,2022,Place of Residence,90030,2000 - 2499 grams,0,11/10/2023
